CustomerID,CompanyName,Firstname,Lastname,City,Country,BranchID,Address,Fax,Phone,PostalCode,StateProvince
72,Fast Sunglasses,Ray Banned,Banned,London,UK,1,90 Wadhurst Rd.,(171) 555-5646,(171) 555-1717,OX15 4NB,
73,Rode & Vite,Preben Elkjaer,Elkjaer,København,Denmark,3,Vinbæltet 34,31133557,31123456,1734,
74,Chateau de Ville,André Millard,Millard,Paris,France,1,"25, rue Lauriston",(1) 47.55.60.20,(1) 47.55.60.10,75016,
75,Macalena,Paul Smith,Smith,Lander,USA,2,P.O. Box 555,(307) 555-6525,(307) 555-4680,82520,WY
76,Belgium Black Jeans,Cheril Cow,Cow,Charleroi,Belgium,1,"Boulevard Tirou, 255",(071) 23 67 22 21,(071) 23 67 22 20,B-6000,
77,Eye Fashion,Charles Oakley,Oakley,Portland,USA,2,"89 Jefferson Way
Suite 2",,(503) 555-3612,97201,OR
78,TTT-The Ticky Tie,Mary Stone,Stone,Butte,USA,2,55 Grizzly Peak Rd.,(406) 555-8083,(406) 555-5834,59801,MT
79,Boombastic,Heinz Disco,Disco,Münster,Germany,1,Luisenstr. 48,0251-035695,0251-031259,44087,
80,Don Balón,Peloto Gomez,Gomez,México D.F.,Mexico,2,Avda. Azteca 123,,(5) 555-2933,5033,
81,Merced do Vaile,Mercedes Couto,Couto,São Paulo,Brazil,4,"Av. Inês de Castro, 414",(11) 555-2168,(11) 555-2167,05442-030,
82,Bond Ltd,Mark Stark,Stark,Kirkland,USA,2,722 DaVinci Blvd.,(206) 555-2174,(206) 555-8257,98034,WA
84,Art et Fashion,Pierre Robert,Robert,Lyon,France,1,"2, rue du Commerce",78.32.54.87,78.32.54.86,69004,
85,Pour l´homme,Henry Renault,Renault,Reims,France,1,59 rue de l'Abbaye,26.47.15.11,26.47.15.10,51100,
86,Autokleider,Ralf Schumaker,Schumaker,Stuttgart,Germany,1,Adenauerallee 900,0711-035428,0711-020361,70563,
87,Perkii Urkii,Miiko Heikillä,Heikillä,Oulu,Finland,3,Torikatu 38,981-443655,981-443655,90110,
88,Da Santho Cosmethia,Mariah Erdi,Erdi,Resende,Brazil,4,"Rua do Mercado, 12",,(14) 555-8122,08737-363,
89,Nirvana Stores,Alice Chain,Chain,Seattle,USA,2,"305 - 14th Ave. S.
Suite 3B",(206) 555-4115,(206) 555-4112,98128,WA
90,Leningrad Cowboys Shop,Reijoo Haajanen,Haajanen,Helsinki,Finland,3,Keskuskatu 45,90-224 8858,90-224 8858,21240,
91,Slotzy Danz,Boniekk Wallessa,Wallessa,Warszawa,Poland,1,ul. Filtrowa 68,(26) 642-7012,(26) 642-7012,01-012,
94,Modehuset Abel,Dennis Olsen,Olsen,Århus,Denmark,3,Smagsløget 45,86223344,86213243,8200,
127,Stephanies,Staffan Blond,Blond,Stockholm,Sweden,3,Gatauppochner. 1,(8) 11 22 33,(8) 10 20 30,11111,
